"1","summary"
"Age","N","%"
"1",11,10.89
"2",51,50.5
"3",21,20.79
"4",18,17.82
"Education","N","%"
"2",12,11.88
"3",27,26.73
"4",17,16.83
"5",35,34.65
"6",8,7.92
"7",1,0.99
"8",1,0.99
"Hispanic_indicator","N","%"
"1",8,7.92
"2",93,92.08
"Hispandnic","N","%"
"1",3,37.5
"2",3,37.5
"3",2,25
"Race","N","%"
"1",73,72.28
"2",7,6.93
"4",12,11.88
"7",9,8.91
"Sex","N","%"
"1",52,52.53
"2",47,47.47
"before_tax_income","N","%"
"1",6,5.94
"2",16,15.84
"3",12,11.88
"4",16,15.84
"5",8,7.92
"6",6,5.94
"7",10,9.9
"8",6,5.94
"9",4,3.96
"10",7,6.93
"11",8,7.92
"12",2,1.98
"Spending_power","N","%"
"4",64,64.65
"5",12,12.12
"6",2,2.02
"7",5,5.05
"9",2,2.02
"10",1,1.01
"11",1,1.01
"12",2,2.02
"14",1,1.01
"15",9,9.09
"hypothetical_insurance_status","N","%"
"0",88,88
"1",10,10
"2",2,2
"acutual_insurance_status","N","%"
"1",42,42
"2",15,15
"3",15,15
"4",5,5
"5",4,4
"6",19,19
"Bucarin_consumption","N","%"
"0",80,79.21
"1",21,20.79
