"1","summary"
"Age","N","%"
"1",36,17.56
"2",82,40
"3",46,22.44
"4",41,20
"Education","N","%"
"1",1,0.48
"2",22,10.63
"3",67,32.37
"4",20,9.66
"5",71,34.3
"6",22,10.63
"7",1,0.48
"8",3,1.45
"Hispanic_indicator","N","%"
"1",16,7.73
"2",191,92.27
"Hispandnic","N","%"
"1",1,6.25
"2",9,56.25
"3",6,37.5
"Race","N","%"
"1",144,69.57
"2",18,8.7
"3",4,1.93
"4",17,8.21
"6",9,4.35
"7",15,7.25
"Sex","N","%"
"1",109,52.66
"2",98,47.34
"before_tax_income","N","%"
"1",23,11.11
"2",22,10.63
"3",31,14.98
"4",25,12.08
"5",20,9.66
"6",26,12.56
"7",10,4.83
"8",16,7.73
"9",6,2.9
"10",6,2.9
"11",15,7.25
"12",7,3.38
"Spending_power","N","%"
"4",98,47.8
"5",36,17.56
"6",19,9.27
"7",5,2.44
"8",3,1.46
"9",8,3.9
"10",2,0.98
"11",7,3.41
"12",3,1.46
"13",1,0.49
"14",6,2.93
"15",17,8.29
"hypothetical_insurance_status","N","%"
"0",9,4.37
"1",192,93.2
"2",5,2.43
"acutual_insurance_status","N","%"
"1",78,37.86
"2",38,18.45
"3",17,8.25
"4",17,8.25
"5",19,9.22
"6",37,17.96
"Drug_Type","N","%"
"0",105,50.72
"1",102,49.28
"Bucarin_consumption","N","%"
"0",85,41.06
"1",122,58.94
