"1","summary"
"Age","N","%"
"1",80,13.09
"2",262,42.88
"3",135,22.09
"4",134,21.93
"Education","N","%"
"1",4,0.65
"2",64,10.44
"3",183,29.85
"4",78,12.72
"5",208,33.93
"6",58,9.46
"7",6,0.98
"8",12,1.96
"Hispanic_indicator","N","%"
"1",61,9.97
"2",551,90.03
"Hispandnic","N","%"
"1",8,13.33
"2",38,63.33
"3",14,23.33
"Race","N","%"
"1",440,72.01
"2",50,8.18
"3",5,0.82
"4",62,10.15
"6",19,3.11
"7",35,5.73
"Sex","N","%"
"1",322,52.87
"2",287,47.13
"before_tax_income","N","%"
"1",53,8.69
"2",61,10
"3",98,16.07
"4",74,12.13
"5",68,11.15
"6",60,9.84
"7",36,5.9
"8",52,8.52
"9",23,3.77
"10",24,3.93
"11",45,7.38
"12",16,2.62
"Spending_power","N","%"
"4",310,51.16
"5",80,13.2
"6",49,8.09
"7",29,4.79
"8",9,1.49
"9",27,4.46
"10",10,1.65
"11",10,1.65
"12",12,1.98
"13",2,0.33
"14",17,2.81
"15",51,8.42
"hypothetical_insurance_status","N","%"
"0",196,32.13
"1",250,40.98
"2",164,26.89
"acutual_insurance_status","N","%"
"1",251,41.15
"2",94,15.41
"3",60,9.84
"4",48,7.87
"5",46,7.54
"6",111,18.2
"Drug_Type","N","%"
"0",306,49.92
"1",307,50.08
"Insurance_Type","N","%"
"0",204,33.28
"1",207,33.77
"2",202,32.95
"Bucarin_consumption","N","%"
"0",341,55.63
"1",272,44.37
